player_id,player_name,player_url,player_category,Season,Age,Squad,Country,Competition,LgRank,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches
2920b80a,Manuel Higueras,https://fbref.com/en/players/2920b80a/Manuel-Higueras,HI,1 Season,1 Club,,1 League,,1,1,90,1.0,,,,,,0,0,1,0,0.0,0,0,0,0,,,
298a4673,Bryan Hilaire,https://fbref.com/en/players/298a4673/Bryan-Hilaire,HI,2019-2020,21,ASM Belfort,FRA,Coupe de France,5th,1,1,90,1.0,,,,,,1,0,0,1,100.0,0,0,0,0,,Matches
298a4673,Bryan Hilaire,https://fbref.com/en/players/298a4673/Bryan-Hilaire,HI,1 Season,1 Club,,1 League,,1,1,90,1.0,,,,,,1,0,0,1,100.0,0,0,0,0,,,
1dfc5785,Carl Hinault,https://fbref.com/en/players/1dfc5785/Carl-Hinault,HI,2024-2025,32,AS Ginglin-Cesson,FRA,Coupe de France,Rd8,2,2,180,2.0,3,1.50,,,,1,0,1,1,50.0,0,0,0,0,,Matches
1dfc5785,Carl Hinault,https://fbref.com/en/players/1dfc5785/Carl-Hinault,HI,1 Season,1 Club,,1 League,,2,2,180,2.0,3,1.50,,,,1,0,1,1,50.0,0,0,0,0,,,
096ddbe4,Johann Hipper,https://fbref.com/en/players/096ddbe4/Johann-Hipper,HI,2024-2025,25,Würzburger Kickers,GER,DFB-Pokal,R64,1,1,120,1.3,2,1.50,12,10,83.3,0,1,0,0,0.0,0,0,0,0,,Matches
096ddbe4,Johann Hipper,https://fbref.com/en/players/096ddbe4/Johann-Hipper,HI,1 Season,1 Club,,1 League,,1,1,120,1.3,2,1.50,12,10,83.3,0,1,0,0,0.0,0,0,0,0,,,
d27e2dfa,Brady Hochman,https://fbref.com/en/players/d27e2dfa/Brady-Hochman,HO,2023,23,Ocean City Nor'easters,USA,U.S. Open Cup,Rd2,2,2,210,2.3,4,1.71,12,9,75.0,1,0,1,0,0.0,1,1,0,0,0.0,Matches
d27e2dfa,Brady Hochman,https://fbref.com/en/players/d27e2dfa/Brady-Hochman,HO,1 Season,1 Club,,1 League,,2,2,210,2.3,4,1.71,12,9,75.0,1,0,1,0,0.0,1,1,0,0,0.0,,
6887fd99,Johannes Höcker,https://fbref.com/en/players/6887fd99/Johannes-Hocker,HO,2016-2017,31,Norderstedt,GER,DFB-Pokal,33rd,1,1,90,1.0,4,4.00,6,2,33.3,0,0,1,0,0.0,0,0,0,0,,Matches
6887fd99,Johannes Höcker,https://fbref.com/en/players/6887fd99/Johannes-Hocker,HO,2017-2018,32,Norderstedt,GER,DFB-Pokal,33rd,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,Matches
6887fd99,Johannes Höcker,https://fbref.com/en/players/6887fd99/Johannes-Hocker,HO,2 Seasons,1 Club,,1 League,,2,2,180,2.0,5,2.50,9,4,44.4,0,0,2,0,0.0,0,0,0,0,,,
b0edcc0e,Thorsten Hodel,https://fbref.com/en/players/b0edcc0e/Thorsten-Hodel,HO,2017-2018,38,SV Morlautern,GER,DFB-Pokal,33rd,1,1,90,1.0,5,5.00,7,2,28.6,0,0,1,0,0.0,0,0,0,0,,Matches
b0edcc0e,Thorsten Hodel,https://fbref.com/en/players/b0edcc0e/Thorsten-Hodel,HO,1 Season,1 Club,,1 League,,1,1,90,1.0,5,5.00,7,2,28.6,0,0,1,0,0.0,0,0,0,0,,,
7a7abfac,Jonael Hodgi,https://fbref.com/en/players/7a7abfac/Jonael-Hodgi,HO,2021-2022,22,JS Chemin Bas d'Avignon,FRA,Coupe de France,R64,3,3,300,3.3,0,0.00,0,0,,1,1,1,2,66.7,2,2,0,0,0.0,Matches
7a7abfac,Jonael Hodgi,https://fbref.com/en/players/7a7abfac/Jonael-Hodgi,HO,1 Season,1 Club,,1 League,,3,3,300,3.3,0,0.00,0,0,,1,1,1,2,66.7,2,2,0,0,0.0,,
d24d45e8,James Hogarth-Wren,https://fbref.com/en/players/d24d45e8/James-Hogarth-Wren,HO,2019-2020,26,Stourbridge FC,ENG,FA Cup,85th,2,2,180,2.0,5,2.50,14,11,71.4,0,1,1,0,0.0,2,1,1,0,50.0,Matches
d24d45e8,James Hogarth-Wren,https://fbref.com/en/players/d24d45e8/James-Hogarth-Wren,HO,1 Season,1 Club,,1 League,,2,2,180,2.0,5,2.50,14,11,71.4,0,1,1,0,0.0,2,1,1,0,50.0,,
7f97da77,Johnny Holaind,https://fbref.com/en/players/7f97da77/Johnny-Holaind,HO,2022-2023,24,US Escaudain Football,FRA,Coupe de France,Rd7,1,1,90,1.0,,,,,,0,0,1,0,0.0,0,0,0,0,,Matches
7f97da77,Johnny Holaind,https://fbref.com/en/players/7f97da77/Johnny-Holaind,HO,1 Season,1 Club,,1 League,,1,1,90,1.0,,,,,,0,0,1,0,0.0,0,0,0,0,,,
19fdca0b,Marcel Hölscher,https://fbref.com/en/players/19fdca0b/Marcel-Holscher,HO,2020-2021,29,Wiedenbrück,GER,DFB-Pokal,33rd,1,1,90,1.0,5,5.00,14,9,64.3,0,0,1,0,0.0,0,0,0,0,,Matches
19fdca0b,Marcel Hölscher,https://fbref.com/en/players/19fdca0b/Marcel-Holscher,HO,1 Season,1 Club,,1 League,,1,1,90,1.0,5,5.00,14,9,64.3,0,0,1,0,0.0,0,0,0,0,,,
c640fa35,Fei Hong Faham,https://fbref.com/en/players/c640fa35/Fei-Hong-Faham,HO,2025-2026,23,Orléans,FRA,Coupe de France,R32,2,2,180,2.0,3,1.50,11,9,72.7,1,0,1,1,50.0,1,0,1,0,100.0,Matches
c640fa35,Fei Hong Faham,https://fbref.com/en/players/c640fa35/Fei-Hong-Faham,HO,2 Seasons,2 Clubs,,1 League,,2,2,180,2.0,3,1.50,11,9,72.7,1,0,1,1,50.0,1,0,1,0,100.0,,
c640fa35,Fei Hong Faham,https://fbref.com/en/players/c640fa35/Fei-Hong-Faham,HO,Orléans (1 Season),,1 League,,2,2,180,2.0,3,1.50,11,9,72.7,1,0,1,1,50.0,1,0,1,0,100.0,,,
14da67c0,Basile Horiot,https://fbref.com/en/players/14da67c0/Basile-Horiot,HO,2024-2025,27,FC Grandvillars,FRA,Coupe de France,Rd7,1,1,90,1.0,4,4.00,,,,0,0,1,0,0.0,0,0,0,0,,Matches
14da67c0,Basile Horiot,https://fbref.com/en/players/14da67c0/Basile-Horiot,HO,2 Seasons,2 Clubs,,1 League,,1,1,90,1.0,4,4.00,,,,0,0,1,0,0.0,0,0,0,0,,,
14da67c0,Basile Horiot,https://fbref.com/en/players/14da67c0/Basile-Horiot,HO,FC Grandvillars (1 Season),,1 League,,1,1,90,1.0,4,4.00,,,,0,0,1,0,0.0,0,0,0,0,,,,
ca789bb5,Jonas Horsch,https://fbref.com/en/players/ca789bb5/Jonas-Horsch,HO,2020-2021,21,FC Oberneuland,GER,DFB-Pokal,33rd,1,1,90,1.0,8,8.00,14,6,42.9,0,0,1,0,0.0,0,0,0,0,,Matches
