player_id,player_name,player_url,player_category,Season,Age,Squad,Competition,LgRank,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
7e8c588e,Leo-orion Lovell,https://fbref.com/en/players/7e8c588e/Leo-orion-Lovell,LO,2022,25,gyGuyana,Friendlies (M),,2.0,1,0,0,,,,,,,,,0,Matches
7e8c588e,Leo-orion Lovell,https://fbref.com/en/players/7e8c588e/Leo-orion-Lovell,LO,2026,29,gyGuyana,WCQ,,2.0,0,0,0,,,,,,,,,0,Matches
7e8c588e,Leo-orion Lovell,https://fbref.com/en/players/7e8c588e/Leo-orion-Lovell,LO,2 Seasons,1 Club,2 Leagues,,4.0,1,0,0,,,,,,,,,0,,
7e8c588e,Leo-orion Lovell,https://fbref.com/en/players/7e8c588e/Leo-orion-Lovell,LO,WCQ (1 Season),,,2.0,0,0,0,,,,,,,,,0,,,
7e8c588e,Leo-orion Lovell,https://fbref.com/en/players/7e8c588e/Leo-orion-Lovell,LO,Friendlies (M) (1 Season),,,2.0,1,0,0,,,,,,,,,0,,,
57eb48fa,Paul Lovell,https://fbref.com/en/players/57eb48fa/Paul-Lovell,LO,2002,24,bbBarbados,WCQ,,1.6,0,0,0,,,,,,,,,0,Matches
57eb48fa,Paul Lovell,https://fbref.com/en/players/57eb48fa/Paul-Lovell,LO,2006,28,bbBarbados,WCQ,,0.9,1,0,0,,,,,,,,,0,Matches
57eb48fa,Paul Lovell,https://fbref.com/en/players/57eb48fa/Paul-Lovell,LO,2 Seasons,1 Club,1 League,,2.5,1,0,0,,,,,,,,,0,,
70821ce1,Antonio Lowe,https://fbref.com/en/players/70821ce1/Antonio-Lowe,LO,2010,23,bmBermuda,WCQ,,2.9,0,0,0,,,,,,,,,0,Matches
70821ce1,Antonio Lowe,https://fbref.com/en/players/70821ce1/Antonio-Lowe,LO,1 Season,1 Club,1 League,,2.9,0,0,0,,,,,,,,,0,,
