player_id,season,championship_id,club_id,total_team_matches,total_matches_played,total_matches_started,total_minutes_played,total_goals,total_home_goals,total_away_goals,total_left_footed_goals,total_right_footed_goals,total_assists,total_attempts,total_shots_on_target,total_shots_assists,total_balls_played,total_touches_in_opposition_box,total_duels_won,total_interceptions,total_tackles_won,total_fouls_committed,total_fouls_suffered,total_yellow_cards,total_red_cards,total_man_of_the_match,total_team_goals,fl1_average_rating,ratio_balls_played_per_match,ratio_matches_started,ratio_goals_every_n_minutes,ratio_shots_on_target_per_match,ratio_touches_in_opposition_box_per_match
l1_championship_player_2025_1_69685,2025,1,l1_championship_club_2025_1,30,27,24,2085,2,,2,,1,2,25,10,26,1352,45,91,16,31,31,18,4,,,58,5.245925925925927,58.36,0.8,1042.5,0.43,1.94
l1_championship_player_2025_1_69685,2025,6,l1_championship_club_2025_1,8,7,6,505,1,,1,,1,,11,4,7,333,14,16,2,4,4,,1,,,11,5.181428571428571,59.35,0.75,505,0.71,2.5
l1_championship_player_2025_1_69685,2025,10,l1_championship_club_2025_1,4,4,3,294,,,,,,,2,,3,234,5,16,3,6,2,4,,,,20,5.922499999999999,71.63,0.75,,,1.53
l1_championship_player_2025_1_69685,2025,15,l1_championship_club_2025_1,1,1,1,77,,,,,,,,,,,,,,,1,,1,,,2,4.36,,1,,,
l1_championship_player_2025_1_62437,2025,1,l1_championship_club_2025_37,20,13,11,946,2,1,1,,2,,11,5,8,800,12,56,14,16,16,12,1,,1,21,5.277692307692307,76.11,0.55,473,0.48,1.14
l1_championship_player_2025_1_62437,2025,1,l1_championship_club_2025_1,10,7,1,124,,,,,,,4,1,1,108,1,4,1,1,3,,1,,,12,4.461428571428572,78.39,0.1,,0.73,0.73
l1_championship_player_2025_1_62437,2025,6,l1_championship_club_2025_1,8,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,
l1_championship_player_2025_1_62437,2025,10,l1_championship_club_2025_37,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
l1_championship_player_2025_1_62437,2025,10,l1_championship_club_2025_1,2,1,1,45,,,,,,,1,1,,32,1,2,,,3,,1,,,5,4.11,64,0.5,,2,2
l1_championship_player_2025_1_103700,2025,1,l1_championship_club_2025_1,30,28,26,2363,2,2,,,1,3,38,12,32,2292,44,109,24,20,31,38,3,,,58,5.838214285714286,87.3,0.87,1181.5,0.46,1.68
l1_championship_player_2025_1_103700,2025,6,l1_championship_club_2025_1,8,8,7,658,,,,,,,6,1,15,679,13,36,4,13,9,11,1,,,11,5.821249999999999,92.87,0.88,,0.14,1.78
l1_championship_player_2025_1_103700,2025,10,l1_championship_club_2025_1,4,2,2,180,1,,1,,1,,2,1,1,182,1,9,1,2,3,3,1,,,20,7.205,91,0.5,180,0.5,0.5
l1_championship_player_2025_1_103700,2025,15,l1_championship_club_2025_1,1,1,1,90,,,,,,,,,,,,,,,3,1,1,,,2,4.35,,1,,,
l1_championship_player_2025_1_101167,2025,1,l1_championship_club_2025_1,30,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,
l1_championship_player_2025_1_101167,2025,6,l1_championship_club_2025_1,8,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,
l1_championship_player_2025_1_101167,2025,10,l1_championship_club_2025_1,4,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,
l1_championship_player_2025_1_28673,2025,1,l1_championship_club_2025_1,30,10,9,593,,,,,,,4,1,2,528,5,37,10,8,12,8,3,,,58,5.3549999999999995,80.13,0.3,,0.15,0.76
l1_championship_player_2025_1_28673,2025,6,l1_championship_club_2025_1,8,4,3,223,,,,,,,3,2,2,173,1,9,4,1,5,4,,,,11,4.4350000000000005,69.82,0.38,,0.81,0.4
l1_championship_player_2025_1_28673,2025,10,l1_championship_club_2025_1,4,2,1,110,,,,,,,1,,2,79,1,6,4,,3,1,1,,,20,5.285,64.64,0.25,,,0.82
l1_championship_player_2025_1_28673,2025,15,l1_championship_club_2025_1,1,1,1,90,,,,,,,,,,,,,,,2,1,,,,2,4.43,,1,,,
l1_championship_player_2025_1_90528,2025,1,l1_championship_club_2025_1,30,2,,14,,,,,,,,,1,17,1,2,1,1,,,,,,58,4.355,109.29,,,,6.43
l1_championship_player_2025_1_90528,2025,6,l1_championship_club_2025_1,8,1,,1,,,,,,,,,,3,,,,,,,,,,11,4.53,270,,,,
l1_championship_player_2025_1_90528,2025,10,l1_championship_club_2025_1,4,2,,47,1,,1,,1,,1,1,2,29,8,5,1,3,,1,,,,20,5.9350000000000005,55.53,,47,1.91,15.32
l1_championship_player_2025_1_90528,2025,15,l1_championship_club_2025_1,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
l1_championship_player_2025_1_84358,2025,1,l1_championship_club_2025_1,30,20,5,590,,,,,,4,7,1,11,471,19,27,7,8,24,4,5,1,1,58,4.87,71.85,0.17,,0.15,2.9
l1_championship_player_2025_1_84358,2025,6,l1_championship_club_2025_1,8,4,1,92,,,,,,,,,,53,2,6,1,2,1,2,,,,11,4.36,51.85,0.13,,,1.96
l1_championship_player_2025_1_84358,2025,10,l1_championship_club_2025_1,4,4,1,182,1,,1,,1,,1,1,3,184,2,13,2,5,4,2,,,,20,5.9725,90.99,0.25,182,0.49,0.99
